Microsoft Internet Explorer	2	i5-3570K	2015	27788	16426	18789	29153	19528	18551	39100	7645	22332	25287	6282	16761	16797	17190	33407	12794
Microsoft Internet Explorer	2	i5-2500K	1568	21645	11314	13975	15245	14237	12668	30843	6250		19562	6029	13951	12155	13428	20926	10685
Chrome	2	i5-2450M	3082	22364	13305	19055	15628	19921	14355	25932	14008	33127	22737	12362	24147	31958	24863	40600	29991
Firefox	2	i7-3770	3337	30570	17408	31790	37483	26777	17440	32321	26028	57797	40107	9805	31281	44195	77107	71394	15584
Firefox	2	i7-3770	3321	30836	17409	31917	36927	27672	17609	31498	25824	57972	39421	11623	30759	43332	45538	70979	48326
Firefox	2	i5-3210M	2588	26092	14458	23977	27543	22075	13552	21086	15077	62758	20688	8447	23027	28222	63491	48730	26948
Firefox	2	i5-3570K	3144	29917	11925	30899	71217	28226	15532	30143	24211	55894	37792	9650	29883	44779	53279	64559	33112
Chrome	2	i5-3210M	2419	19974	13976	21473	15339	22381	14803	21663	15931	40470	25629	16108	27144	31353	32560	49453	33581
Firefox	2	i5-2400S	2933	25376	15765	24899	29498	20725	14603	23994	15459	61322	25726	9952	23412	31958	65119	51546	31333
Microsoft Internet Explorer	1	i5-560M	1357	20250	11023	10950	15482	12882	11082	23762	4409	13032	16029	4287	11946	7828	12675	18930	9210
Chrome	2	i5-2320	3361	24017	14429	21558	17310	21826	16679	30910	17480	37760	24740	15971	26427	31291	27158	55151	32252
Chrome	0	Celeron 1037U	1281	9092	5059	6240	4151	8816	4480	11908	8100	14629	10267	8223	10231	5406	11599	9128	13091
Firefox	2	i7-3770	3135	30744	17435	31790	36656	27655	12006	31734	21823	58662	39658	10570	31090	44416	58533	72235	46739
Chrome	0	i3-3217U	1765	11097	7530	7785	5502	10545	6069	15120	8125	19612	16466	11880	15378	9227	19073	15617	22244
Chrome	2	i5-2500	3856	26901	14925	24560	20600	24003	18515	33875	18441	40980	29436	22089	29580	39923	33710	62344	37985
Chrome	1	i5-560M	2521	18938	11741	15849	13223	20085	11865	23904	12558	29690	15831	9934	24440	25534	18426	43013	25928
Microsoft Internet Explorer	2	i7-2600	1879	24783	14925	16389	26238	16422	15882	34952	7489		22998	6124	16080	17716	16674	27462	12324
Microsoft Internet Explorer	0	Core 2 Duo E6700	1186	15737	9385	8391	11758	11157	8916	20562	4221	11920	11715	3793	10813	7710	8567	16623	7696
Microsoft Internet Explorer	2	i7-4790	2218	28231	17886	21601	34619	21681	19970	47259	6833	23535	26088	5001	17326	20460	23263	38965	14777
Firefox	1	i5-480M	1735	18126	9966	16061	15726	15456	7317	17672	11800	38638	20870	5369	4049	20999	29082	38850	8933
Microsoft Internet Explorer	1	i5-560M	1351	20182	10841	10596	15726	12381	9944	25134	4893	13796	15445	4749	12564	7370	11015	18400	9402
Microsoft Internet Explorer	2	i5-3570K	2001	27547	15947	18350	31158	19452	18842	40185	7807	22160	24430	6167	16394	16675	17190	33244	13157
Microsoft Internet Explorer	2	i5-2400	1692	22216	14354	14400	23187	14978	15355	33093	5990	17753	20171	5438	12596	14452	14815	25748	9871
Chrome	2	i5-2320	3367	23993	14699	21643	17492	21416	15976	30673	18010	37519	24752	16372	26589	27707	27298	56096	32689
Firefox	2	i7-2670QM	2304	21645	12780	21495	21961	19580	9204	22826	19041	44090	28324	8097	23614	32942	43067	53807	20417
Firefox	2	i5-3570K	3061	29917	11836	31140	79130	28272	13590	31091	23567	55813	37792	8595	29696	44504	40659	63745	39294
Firefox	0	Core 2 Duo E6700	1624	15784	9441	13465	12848	14015	8277	16148	14131	35704	21075	6683	19416	19307	35297	40718	25627
Firefox	2	i5-4460	2543	31102	15955	26559	30584	25897	14132	24826	13935	46406	31064	4441	29918	49832	40289	51647	29813
Microsoft Internet Explorer	2	i7-2630QM	1403	18568	11237	11221	14367	12520	11582	25645	6505		17706	5513	11869	11120	11928	18310	9177
Firefox	1	i5-480M	1740	18716	9035	12596	11702	15647	6789	16442	12761	37245	20972	5960	4183	21452	31492	33472	8946
Microsoft Internet Explorer	0	Celeron 1000M	953	12885	7412	6328	7964	9319	6550	19017	3700	10019	11961	4052	7869	4089	8173	9011	6354
Microsoft Internet Explorer	2	i5-3230M	650	8833	5289	5425	7163	6236	5002	12584	2665	6872	8158	3301	5211	4996	5568	8559	4113
Microsoft Internet Explorer	0	Celeron B800	783	9962	6466	5615	6992	6739	6328	13697	3529	7662	9735	3492	5557	6530	6425	8619	4813
Firefox	2	i5-2320	2562	23673	14459	24536	26377	21127	9000	27444	21514	50070	31874	9195	25901	37486	61789	59278	13032
Firefox	2	i5-3570K	3079	29828	12451	29997	65595	28206	17093	31765	21776	56936	37834	8913	29883	41002	53057	67340	44431
Microsoft Internet Explorer	1	i5-560M	1364	20398	11865	11147	17370	12944	12006	17650	4274	5638	15468	3944	9945	9394	12395	19822	9752
Firefox	0	Core 2 Duo E6400	1363	12762	7451	7880	8761	11180	5720	13119	9078	29923	16734	3482	15568	13903	24716	30073	6400
Chrome	0	Atom N270	547	3839	2429	2188	1846	3587	1768	3737	1149	4922	4532	1445	3311	2476	4197	6228	5157
Chrome	2	i7-3632QM	3497	23058	14109	20623	16899	22547	14519	27563	16168	36324	27606	17640	25647	33989	32642	52160	35664
Firefox	2	i5-2400S	2875	25178	15375	24680	28984	21242	14589	24582	16135	61919	24199	10112	24083	34562	64009	49258	29515
Chrome	0	i3-2367M	1340	9146	5468	6099	4172	8244	4858	9923	9158	13937	9835	5158	10562	7335	10603	18220	13303
Chrome	1	i5-560M	2690	22637	11481	16200	12717	20321	11807	21781	12623	29684	19599	13325	17965	25509	23804	36621	29475
Chrome	2	i7-3770	4116	29147	18130	27647	24558	28193	21136	34876	19493	46266	29945	19026	33014	44690	32831	62038	40887
Chrome	2	i5-2500	3744	26860	15592	24729	20600	24079	18116	34498	19876	41024	26990	17656	29678	37300	29732	64243	36471
Chrome	2	i5-2400	3511	24733	15027	22400	17741	22165	15682	31845	17431	37948	26002	19422	27384	29191	28461	56645	33396
Chrome	2	i5-3210M	3733	23774	13761	22294	16292	22328	15698	23344	10113	39396	23020	10799	27430	31198	28597	52524	32557
Chrome	1	i5-560M	2646	22740	11626	16263	12463	20475	11819	20659	11798	29981	17960	12131	24475	15630	21016	40996	26956
Chrome	2	i5-2500K	2372	16702	10221	13319	10174	14783	8873	19851	12843	24864	16868	12439	17651	20603	18555	35219	23763
Chrome	2	i5-2400	3720	24783	15017	22528	18128	22243	16646	29945	18018	37667	29375	20952	27370	36111	34409	46030	35433
Chrome	2	i5-3470U	3859	27049	16792	25845	18955	25896	18207	32109	21180	42986	28086	20249	30614	41500	31524	66944	39308
Chrome	2	i5-2500K	2340	14380	10023	12849	9048	14979	8864	21484	10361	24779	17128	11579	18205	20937	17650	33244	22414
Chrome	2	i7-3770	4137	29266	16792	28081	25051	28416	21480	36851	20059	46590	29832	19798	33029	46179	33669	73096	41092
Chrome	2	i5-2500K	2246	14810	10373	12573	9181	14087	8830	19562	9875	24966	16639	9294	17580	20999	17151	30130	20179
Chrome	2	i5-4570	4108	27372	15798	26691	22660	28044	18462	40134	18148	45332	26301	14233	32414	45995	29261	70276	38824
Microsoft Internet Explorer	2	i7-2670QM	1179	14692	9492	9265	12848	9908	9946	21674	4579	11939	14421	4067	9468	8037	10151	14894	7438
